650     2.0335
655     2.0363      .0028
660     2.0392      .0031
665     2.0420      .0028
670     2.0448      .0028
675     2.0475      .0027
680     2.0506      .0031
685     2.0531      .0025
690     2.0558      .0027
695     2.0585      .0027
700     2.0612      .0027
705     2.0639      .0027
710     2.0666      .0027
715     2.0693      .0027
720     2.0720      .0027
725     2.0746      .0026
730     2.0773      .0027
735     2.0799      .0026
740     2.0825      .0026
745     2.0852            --
750     2.0878      .0053
755     2.0900            --
760     2.0930      .0052
765     2.0956            --
770     2.0982      .0052
775     2.1008            --
780     2.1034      .0052
785     2.1060            --
790     2.1086      .0052
795     2.1112            --
800     2.1137      .0051
805     2.1163            --
810     2.1189      .0052
815     2.1215            --
820     2.1240      .0051
825     2.1266            --
830     2.1292      .0052
835     2.1318            --
840     2.1344      .0052
845     2.1370            --
850     2.1396      .0052

-- means interpolated by hand
